name,name_norm,is_active,count,example
左サイドガードステー,左サイドガードステー,true,15,左サイドガードステー曲がり直し鈑金
フェンダーステー,フェンダーステー,true,14,フェンダーステー脱着折損部リブ入れ溶接
ブラケット曲がり直し,ブラケット曲がり直し,true,14,アウトリガーブラケット曲がり直し
右サイドガードステー,右サイドガードステー,true,12,右サイドガードステー折損部修正リブ入れ溶接
折れ込みボルト,折れ込みボルト,true,12,折れ込みボルト取外し取替加工
嚙み込みボルト,嚙み込みボルト,true,12,嚙み込みボルト２本切断取替加工
左右ステー,左右ステー,true,11,左右ステー取替一式
ボルト取付,ボルト取付,true,10,ガゼットボルト取付
リヤナンバーブラケット,リヤナンバーブラケット,true,10,リヤナンバーブラケット脱着移設加工
突っ張りステー,突っ張りステー,true,10,突っ張りステー取替
ボルト修理,ボルト修理,true,9,折れ込みボルト修理
ステー鈑金,ステー鈑金,true,8,右フレーム曲がり直しカプラーステー鈑金
ナンバーブラケット,ナンバーブラケット,true,8,ナンバーブラケット修正
ブラケット交換,ブラケット交換,true,8,煽りドア開閉補助装置アームブラケット交換３ヶ所
ステップブラケット,ステップブラケット,true,6,ステップブラケット脱着修正
ボルト折損修理,ボルト折損修理,true,6,ウィング蝶番ボルト折損修理
工具箱ステー,工具箱ステー,true,6,工具箱ステー左右切替加工溶接2本
左ステー,左ステー,true,6,左ステー制作取付
左右ステップブラケット,左右ステップブラケット,true,6,左右ステップブラケット脱着修正
作業灯ステー,作業灯ステー,true,6,作業灯ステー4本製作取付加工
腐食ボルト,腐食ボルト,true,6,腐食ボルト折れ込み取外し加工
右ステー,右ステー,true,5,右ステー穴掘り加工
左右サイドガードステー,左右サイドガードステー,true,5,左右サイドガードステー3本腐食折損部補強リブ取付加工溶接
折損ボルト,折損ボルト,true,5,折損ボルト取替加工
サイドガードステー,サイドガードステー,true,4,サイドガードステー固定リブ制作取付加工
ステー交換,ステー交換,true,4,ステー交換
ステンボルト,ステンボルト,true,4,左前フェンダー分解応急曲がり直し取付（8㎜ステンボルト4セット込み）
タンクブラケット,タンクブラケット,true,4,タンクブラケット応急曲がり直し
ブラケットカバー,ブラケットカバー,true,4,ブラケットカバー
ボルト取外し,ボルト取外し,true,4,オイルパン折れ込みボルト取外し
工具箱ブラケット,工具箱ブラケット,true,4,工具箱ブラケット腐食ステー2本切断製作取替溶接
左サイドガード後ろステー,左サイドガード後ろステー,true,4,左サイドガード後ろステー折損部修正取付溶接
左バンパーステー,左バンパーステー,true,4,左バンパーステー取替
前後ナンバーボルト,前後ナンバーボルト,true,4,前後ナンバーボルト脱着タップ掛け
Uボルト,Uボルト,true,3,Uボルト固定溶接1ヶ所
アンダーステー,アンダーステー,true,3,アンダーステー脱着
ウィング蝶番ボルト,ウィング蝶番ボルト,true,3,ウィング蝶番ボルト2本取り付け点検
ガードステー,ガードステー,true,3,ガードステー脱着
ガゼットボルト,ガゼットボルト,true,3,ガゼットボルト取付
シートブラケット,シートブラケット,true,3,シートブラケット増し締め点検
センターステー,センターステー,true,3,センターステー脱着曲がり直し
テールランプブラケット,テールランプブラケット,true,3,テールランプブラケット製作
バックランプステー,バックランプステー,true,3,バックランプステー製作取替加工
ブラケット鈑金修理,ブラケット鈑金修理,true,3,リヤバンパー左右ブラケット鈑金修理
ボルト込み,ボルト込み,true,3,ボルト込み）
ボルト嚙み込み修理,ボルト嚙み込み修理,true,3,踊り場脱着ボルト嚙み込み修理
リフレクターブラケット,リフレクターブラケット,true,3,リフレクターブラケット脱着修正
リヤナンバーボルト,リヤナンバーボルト,true,3,リヤナンバーボルト折れ込み取外し取替
