name,sort_order,reading
フレーム側ボルト,510,ふれーむ側ぼると
配線ステー,511,はいせんすてー
バーナット,512,ばなっと
メインステー,513,めいんすで
グリルステー,514,ぐりるすで
コーナーパネルステー,515,ごなぱねるすで
バンパーステー,516,ばんぱすで
ヘッドライトステー,517,へっどらいとすで
タイヤスタッドボルト,518,たいやすたっどぼると
燃料,519,ねんりょう
インタークーラーパイプ,520,いんだぐらぱいぷ
ピラーヒンジ,521,ぴらひんじ
ステンマーカー,522,すてんまが
ウィングウェザーストリップゴム,523,うぃんぐうぇざすとりっぷごむ
ステンサイドガード,524,すてんさいどがど
バルブ,525,ばるぶ
ナンバーブラケットボルト,526,なんばぶらけっとぼると
ブレーキライニング,527,ぶれきらいにんぐ
サイドブレーキハンドル,528,さいどぶれきはんどる
ライトベゼル,529,らいとべぜる
ドアヒンジ,530,どあひんじ
アームブラケット,531,あむぶらけっと
アウトリガーベアリング,532,あうとりがべありんぐ
コボレーンスイッチボックス,533,こぼれんすいっちぼっくす
ストッパーフック,534,すとっぱふっく
バンパーステップ,535,ばんぱすてっぷ
バックプレートボルト,536,ばっくぷれとぼると
スプリングブラケット,537,すぷりんぐぶらけっと
クロスメンバー,538,くろすめんば
ウィングクッションボルト,539,うぃんぐくっしょんぼると
ブリッジキャブショックアブソーバ,540,ぶりっじきゃぶしょっくあぶぞば
スプリングニップル,541,すぷりんぐにっぷる
ボックス,542,ぼっくす
エプロンゴム,543,えぷろんごむ
ウィングセンターステー,544,うぃんぐせんだすで
フェンダーアーチゴム,545,ふぇんだあちごむ
フィニシャー,546,ふぃにしゃ
コーナーパネルカバー,547,ごなぱねるかば
ブッシュ,548,ぶっしゅ
キャリーラック,549,きゃりらっく
タンクキャップ,550,たんくきゃっぷ
ケーブル,551,けーぶる
錆止め塗料,552,錆しめぬりょう
テールランプレンズ,553,でるらんぷれんず
スルーシャフトメクラキャップ,554,するしゃふとめくらきゃっぷ
リーンホースメント,555,りんぼすめんと
サスベローズ,556,さすべろず
コの字曲げ鋼材,557,この字まげこうざい
鋼材切り板,558,こうざいせつりいた
ショートパーツ,559,しょとぱつ
ライディングギヤ,560,らいでぃんぐぎや
セカンドステップカバー,561,せかんどすてっぷかば
スプラッシュガード,562,すぷらっしゅがど
サスペンションブラケット,563,さすぺんしょんぶらけっと
テールパイプブラケット,564,でるぱいぷぶらけっと
コボレーン,565,こぼれん
ニップル,566,にっぷる
ステンカバー,567,すてんかば
ダンプレバー,568,だんぷれば
ゲートキャッチ,569,げときゃっち
フロントショックアブソーバ,570,ふろんとしょっくあぶぞば
プラットホーム,571,ぷらっとぼむ
ショックアブソーバー,572,しょっくあぶぞば
シートサスペンション,573,じとさすぺんしょん
フレーム間ハーネス,574,ふれーむ間はーねす
タイコマフラーステー,575,たいこまふらすで
モーター一式,576,もーたーいちしき
歯止め入れ,577,歯しめにゅうれ
箱製作,578,箱せいさく
作業台製作,579,さく業台せいさく
ライト,580,らいと
リッドグリル,581,りっどぐりる
マーク,582,まーく
タイヤホイールカバー,583,たいやほいるかば
アンテナ,584,あんてな
ドライバーシートクッション,585,どらいばじとくっしょん
ステンサイドガードステー,586,すてんさいどがどすで
フェリーフックブラケット,587,ふぇりふっくぶらけっと
ステイ,588,すてい
マニュホルドスタッドボルト,589,まにゅほるどすたっどぼると
ジョルダー,590,じょるだ
ノズルボルト,591,のずるぼると
マーカーステイ,592,まがすてい
自重計,593,自じゅう計
ヒンジ,594,ひんじ
ダッシュフロントエンドリーンホースメントパネル,595,だっしゅふろんとえんどりんぼすめんとぱねる
エンジン,596,えんじん
ナンバーブラケット,597,なんばぶらけっと
プラットホーム縞鋼板,598,ぷらっとほーむしまこういた
アシストグリップ,599,あしすとぐりっぷ
ウィング枠,600,うぃんぐ枠
バッテリーブラケット,601,ばってりぶらけっと
サイドガードコーナーバンパー,602,さいどがどごなばんぱ
ツイストロックハンドル,603,ついすとろっくはんどる
アームハンドル,604,あむはんどる
乗降ハンドル,605,乗降はんどる
室内養生作業,606,室うち養生さく業
ドライバーシートASSY,607,どらいばーしーとASY
シートカバー,608,じとかば
センタースロットルハンドル,609,せんだすろっとるはんどる
カプラースイッチレバー,610,かぷらすいっちれば
オートグリス,611,おとぐりす
グリスアップ,612,ぐりすあっぷ
ダンプキャッチローラーブラケットグリス,613,だんぷきゃっちろらぶらけっとぐりす
ダンプキャッチブラケット,614,だんぷきゃっちぶらけっと
ドラックリンク,615,どらっくりんく
バンパーASSY,616,ばんぱーASY
ファーストステップブラケット,617,ふぁ゜すとすてっぷぶらけっと
グリルキャッチ,618,ぐりるきゃっち
ドアーパネルASSY,619,どあーぱねるASY
バイザー,620,ばいざ
アウターカバー,621,あうだかば
ランプゴム,622,らんぷごむ
ミラーロアブラケット,623,みらろあぶらけっと
ホイールカバー,624,ほいるかば
ワイパーアーム,625,わいぱあむ
ミラーロアステイ,626,みらろあすてい
カラー,627,から
ボデー蝶番,628,ぼでーちょうつがい
バンパーグリルカバー,629,ばんぱぐりるかば
燃料サブタンク,630,ねんりょうさぶたんく
床面錆落とし,631,床面錆落とし
サイドガードリベット,632,さいどがどりべっと
スプリングハンガー,633,すぷりんぐはんが
カプラーロックスイッチ,634,かぷらろっくすいっち
リブ入れ,635,りぶにゅうれ
バンパーコーナーカバー,636,ばんぱごなかば
ドアパネルASSY,637,どあぱねるASY
ステップアンダーカバー,638,すてっぷあんだかば
メッキバックミラー,639,めっきばっくみら
ダンプキャッチ,640,だんぷきゃっち
インターロックストッパーブラケット,641,いんだろっくすとっぱぶらけっと
インターロックリミットスイッチステン,642,いんだろっくりみっとすいっちすてん
ガードゴム,643,がどごむ
アルミガード,644,あるみがど
アピトン板,645,あぴとんいた
アルミ板,646,あるみいた
バンパーステイ,647,ばんぱすてい
ドリル,648,どりる
コネクタージョイント,649,こねくだじょいんと
コの字曲げ材,650,この字まげざい
3面曲げ材,651,さん面まげざい
滑車,652,すべ車
アンカーボルト,653,あんがぼると
フェンダーブラケット,654,ふぇんだぶらけっと
エアークリーナー,655,えあくりな
ブロック,656,ぶろっく
バッテリーカバーポップアップナット,657,ばってりかばぽっぷあっぷなっと
ゲートロックレバーブラケット,658,げとろっくればぶらけっと
エアタンクステー,659,えあたんくすで
マッドガードエプロン,660,まっどがどえぷろん
バックミラーアーム,661,ばっくみらあむ
ロアステー,662,ろあすで
カメラ,663,かめら
アンダーカバーステイボルト,664,あんだかばすていぼると
踊場,665,おどりば
工具箱分解ブラケット,666,こうぐ箱ぶんかいぶらけっと
煽り,667,煽り
ステップブラケット,668,すてっぷぶらけっと
枠ボルト,669,枠ぼると
ラック,670,らっく
センタービーム折損部,671,せんたーびーむ折損ぶ
リーンホースメントボルト,672,りんぼすめんとぼると
メッキガーニッシュ,673,めっきがにっしゅ
ゲートキャッチ,674,げときゃっち
ラッシングベルト,675,らっしんぐべると
ケース,676,けーす
アルミサイドガード,677,あるみさいどがど
ドライバーシートサスペンション,678,どらいばじとさすぺんしょん
キャブチルドシリンダーオイルホース,679,きゃぶちるどしりんだおいるぼす
メイン燃料タンク,680,めいんねんりょうたんく
