name,sort_order,reading
ウィング中板,465,ウィングちゅういた
インナーボード,466,いんな゜ぼ゜ど
コンテナロックリターンスプリング,467,こんてなろっくりた゜んすぷりんぐ
ウィンググリスアップ,468,うぃんぐぐりすあっぷ
センサー,469,せんさ゜
ステップブラケット,470,すてっぷぶらけっと
バンパーステー,471,ばんぱ゜すて゜
バンパーフィニシャー,472,ばんぱ゜ふぃにしゃ゜
下廻り,473,げ廻り
アクセルペダル,474,あくせるぺだる
ダッシュボード側,475,だっしゅぼーど側
ルーフ,476,る゜ふ
ゲージ,477,げ゜じ
エア抜きホース,478,エア抜きほーす
ブラケットブッシュゴム,479,ぶらけっとぶっしゅごむ
キャッチローラーブラケット,480,きゃっちろ゜ら゜ぶらけっと
センターバンパー,481,せんた゜ばんぱ゜
ウィング,482,うぃんぐ
ウィングルーフ,483,うぃんぐる゜ふ
鳥居,484,鳥居
ウィング蝶番ボルト,485,ウィングちょうつがいぼると
ドア蝶番ピン,486,ドアちょうつがいぴん
煽り開閉補助装置,487,煽りかいへいほ助そうち
ドア,488,どあ
キャブショック,489,きゃぶしょっく
エンジンカバーステー,490,えんじんかば゜すて゜
ロープ,491,ろ゜ぷ
リンギ,492,りんぎ
バンパーグリル,493,ばんぱ゜ぐりる
フラッシャーレンズ,494,ふらっしゃ゜れんず
フェンダー,495,ふぇんだ゜
フェンダーステー,496,ふぇんだ゜すて゜
コック,497,こっく
エアコネクターボルト,498,えあこねくた゜ぼると
ブラケット2本,499,ぶらけっとにほん
繋ぎホース,500,繋ぎほーす
折損部ボルト止め,501,折損ぶぼるとしめ
ヒンジ,502,ひんじ
建付け,503,けんつけけ
サッシ,504,さっし
ウィングリターンスプリング,505,うぃんぐりた゜んすぷりんぐ
ホースコック,506,ほ゜すこっく
フォグランプベゼル,507,ふぉぐらんぷべぜる
カプラー,508,かぷら゜
エンジンカバー,509,えんじんかば゜
フレーム側ボルト,510,ふれーむ側ぼると
配線ステー,511,はいせんすてー
バーナット,512,ば゜なっと
メインステー,513,めいんすて゜
グリルステー,514,ぐりるすて゜
コーナーパネルステー,515,こ゜な゜ぱねるすて゜
バンパーステー,516,ばんぱ゜すて゜
ヘッドライトステー,517,へっどらいとすて゜
タイヤスタッドボルト,518,たいやすたっどぼると
燃料,519,ねんりょう
インタークーラーパイプ,520,いんた゜く゜ら゜ぱいぷ
ピラーヒンジ,521,ぴら゜ひんじ
ステンマーカー,522,すてんま゜か゜
ウィングウェザーストリップゴム,523,うぃんぐうぇざ゜すとりっぷごむ
ステンサイドガード,524,すてんさいどが゜ど
バルブ,525,ばるぶ
ナンバーブラケットボルト,526,なんば゜ぶらけっとぼると
ブレーキライニング,527,ぶれ゜きらいにんぐ
サイドブレーキハンドル,528,さいどぶれ゜きはんどる
ライトベゼル,529,らいとべぜる
ドアヒンジ,530,どあひんじ
アームブラケット,531,あ゜むぶらけっと
アウトリガーベアリング,532,あうとりが゜べありんぐ
コボレーンスイッチボックス,533,こぼれ゜んすいっちぼっくす
ストッパーフック,534,すとっぱ゜ふっく
バンパーステップ,535,ばんぱ゜すてっぷ
バックプレートボルト,536,ばっくぷれ゜とぼると
スプリングブラケット,537,すぷりんぐぶらけっと
クロスメンバー,538,くろすめんば゜
ウィングクッションボルト,539,うぃんぐくっしょんぼると
ブリッジキャブショックアブソーバ,540,ぶりっじきゃぶしょっくあぶそ゜ば
スプリングニップル,541,すぷりんぐにっぷる
ボックス,542,ぼっくす
エプロンゴム,543,えぷろんごむ
ウィングセンターステー,544,うぃんぐせんた゜すて゜
フェンダーアーチゴム,545,ふぇんだ゜あ゜ちごむ
フィニシャー,546,ふぃにしゃ゜
コーナーパネルカバー,547,こ゜な゜ぱねるかば゜
ブッシュ,548,ぶっしゅ
キャリーラック,549,きゃり゜らっく
タンクキャップ,550,たんくきゃっぷ
ケーブル,551,け゜ぶる
錆止め塗料,552,錆しめぬりりょう
テールランプレンズ,553,て゜るらんぷれんず
スルーシャフトメクラキャップ,554,する゜しゃふとめくらきゃっぷ
リーンホースメント,555,り゜んほ゜すめんと
サスベローズ,556,さすべろ゜ず
コの字曲げ鋼材,557,コの字まげこうざい
鋼材切り板,558,こうざいせつりいた
ショートパーツ,559,しょ゜とぱ゜つ
ライディングギヤ,560,らいでぃんぐぎや
セカンドステップカバー,561,せかんどすてっぷかば゜
スプラッシュガード,562,すぷらっしゅが゜ど
サスペンションブラケット,563,さすぺんしょんぶらけっと
テールパイプブラケット,564,て゜るぱいぷぶらけっと
コボレーン,565,こぼれ゜ん
ニップル,566,にっぷる
ステンカバー,567,すてんかば゜
ダンプレバー,568,だんぷれば゜
ゲートキャッチ,569,げ゜ときゃっち
フロントショックアブソーバ,570,ふろんとしょっくあぶそ゜ば
プラットホーム,571,ぷらっとほ゜む
ショックアブソーバー,572,しょっくあぶそ゜ば゜
シートサスペンション,573,し゜とさすぺんしょん
フレーム間ハーネス,574,ふれーむ間ハーネス
タイコマフラーステー,575,たいこまふら゜すて゜
モーター一式,576,もーたーいちしき
歯止め入れ,577,歯しめにゅうれ
箱製作,578,箱せいさく
作業台製作,579,さく業台せいさく
ライト,580,らいと
リッドグリル,581,りっどぐりる
マーク,582,ま゜く
タイヤホイールカバー,583,たいやほい゜るかば゜
アンテナ,584,あんてな
ドライバーシートクッション,585,どらいば゜し゜とくっしょん
ステンサイドガードステー,586,すてんさいどが゜どすて゜
フェリーフックブラケット,587,ふぇり゜ふっくぶらけっと
ステイ,588,すてい
マニュホルドスタッドボルト,589,まにゅほるどすたっどぼると
ジョルダー,590,じょるだ゜
ノズルボルト,591,のずるぼると
マーカーステイ,592,ま゜か゜すてい
自重計,593,自じゅう計
ヒンジ,594,ひんじ
ダッシュフロントエンドリーンホースメントパネル,595,だっしゅふろんとえんどり゜んほ゜すめんとぱねる
エンジン,596,えんじん
ナンバーブラケット,597,なんば゜ぶらけっと
プラットホーム縞鋼板,598,プラットホームしまこういた
アシストグリップ,599,あしすとぐりっぷ
ウィング枠,600,ウィング枠
バッテリーブラケット,601,ばってり゜ぶらけっと
サイドガードコーナーバンパー,602,さいどが゜どこ゜な゜ばんぱ゜
ツイストロックハンドル,603,ついすとろっくはんどる
アームハンドル,604,あ゜むはんどる
乗降ハンドル,605,乗降はんどる
室内養生作業,606,室うち養生さく業
ドライバーシートASSY,607,ドライバーしーとASSY
シートカバー,608,し゜とかば゜
センタースロットルハンドル,609,せんた゜すろっとるはんどる
カプラースイッチレバー,610,かぷら゜すいっちれば゜
オートグリス,611,お゜とぐりす
グリスアップ,612,ぐりすあっぷ
ダンプキャッチローラーブラケットグリス,613,だんぷきゃっちろ゜ら゜ぶらけっとぐりす
ダンプキャッチブラケット,614,だんぷきゃっちぶらけっと
ドラックリンク,615,どらっくりんく
バンパーASSY,616,バンパーASSY
ファーストステップブラケット,617,ふぁ゜すとすてっぷぶらけっと
グリルキャッチ,618,ぐりるきゃっち
ドアーパネルASSY,619,ドアーぱねるASSY
バイザー,620,ばいざ゜
アウターカバー,621,あうた゜かば゜
ランプゴム,622,らんぷごむ
ミラーロアブラケット,623,みら゜ろあぶらけっと
ホイールカバー,624,ほい゜るかば゜
ワイパーアーム,625,わいぱ゜あ゜む
ミラーロアステイ,626,みら゜ろあすてい
カラー,627,から゜
ボデー蝶番,628,ボデーちょうつがい
バンパーグリルカバー,629,ばんぱ゜ぐりるかば゜
燃料サブタンク,630,ねんりょうサブたんく
床面錆落とし,631,床面錆落とし
サイドガードリベット,632,さいどが゜どりべっと
スプリングハンガー,633,すぷりんぐはんが゜
カプラーロックスイッチ,634,かぷら゜ろっくすいっち
リブ入れ,635,リブにゅうれ
バンパーコーナーカバー,636,ばんぱ゜こ゜な゜かば゜
ドアパネルASSY,637,ドアぱねるASSY
ステップアンダーカバー,638,すてっぷあんだ゜かば゜
メッキバックミラー,639,めっきばっくみら゜
ダンプキャッチ,640,だんぷきゃっち
インターロックストッパーブラケット,641,いんた゜ろっくすとっぱ゜ぶらけっと
インターロックリミットスイッチステン,642,いんた゜ろっくりみっとすいっちすてん
ガードゴム,643,が゜どごむ
アルミガード,644,あるみが゜ど
アピトン板,645,アピトンいた
アルミ板,646,アルミいた
バンパーステイ,647,ばんぱ゜すてい
ドリル,648,どりる
コネクタージョイント,649,こねくた゜じょいんと
コの字曲げ材,650,コの字まげざい
3面曲げ材,651,さん面まげざい
滑車,652,すべ車
アンカーボルト,653,あんか゜ぼると
フェンダーブラケット,654,ふぇんだ゜ぶらけっと
エアークリーナー,655,えあ゜くり゜な゜
ブロック,656,ぶろっく
