id,invoice_id,line_no,sub_no,raw_label_part,action,target,unit_price,quantity,amount,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at,record_type,raw_label_full,set_name,other,is_latest
62,21111307-2,1,6,ドアー蝶番脱着修正コーキング入替,修正・脱着,ドア,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
63,21111308-1,1,0,フロントバンパー右異音点検加工 他（2点）,加工,,12000,1,12000,false,0.90,自動変換,,,,set_parent,フロントバンパー右異音点検、ブレ止めステー製作取替加工,フロントバンパー右異音点検加工 他（2点）,,true
64,21111308-1,1,1,フロントバンパー右異音点検,点検,フロントバンパー,,1,,false,0.90,自動変換,,,,set_child,フロントバンパー右異音点検、ブレ止めステー製作取替加工,フロントバンパー右異音点検加工 他（2点）,,true
65,21111308-1,1,2,ブレ止めステー製作取替加工,加工・取替・製作,ステー,,1,,false,0.90,自動変換,,,,set_child,フロントバンパー右異音点検、ブレ止めステー製作取替加工,フロントバンパー右異音点検加工 他（2点）,,true
66,21111309-1,1,0,右後ろセイコーラックアーム応急曲がり直し取付 他（2点）,取付,,3000,1,3000,false,0.90,自動変換,,,,set_parent,右後ろセイコーラックアーム応急曲がり直し、ピン取付,右後ろセイコーラックアーム応急曲がり直し取付 他（2点）,,true
67,21111309-1,1,1,右後ろセイコーラックアーム応急曲がり直し,曲がり直し,,,1,,false,0.90,自動変換,,,,set_child,右後ろセイコーラックアーム応急曲がり直し、ピン取付,右後ろセイコーラックアーム応急曲がり直し取付 他（2点）,,true
68,21111309-1,1,2,ピン取付,取付,,,1,,false,0.90,自動変換,,,,set_child,右後ろセイコーラックアーム応急曲がり直し、ピン取付,右後ろセイコーラックアーム応急曲がり直し取付 他（2点）,,true
69,21111310-1,1,1,煽り蝶番ピン取付穴掘り加工３本,加工・取付,,3000,3,9000,false,0.90,自動変換,,,,individual,煽り蝶番ピン取付穴掘り加工３本,,,true
70,21111310-1,2,1,右前煽りキャッチ脱着フック制作取付加工溶接,加工・取付・溶接・脱着,,8000,1,8000,false,0.90,自動変換,,,,individual,右前煽りキャッチ脱着フック制作取付加工溶接,,,true
71,21111311-1,1,0,後ろ横根太折損部修正加工 他（2点）,加工,,22000,3,66000,false,0.90,自動変換,,,,set_parent,後ろ横根太折損部修正、補強リブ制作取付加工溶接,後ろ横根太折損部修正加工 他（2点）,,true
72,21111311-1,1,1,後ろ横根太折損部修正,修正,,,1,,false,0.90,自動変換,,,,set_child,後ろ横根太折損部修正、補強リブ制作取付加工溶接,後ろ横根太折損部修正加工 他（2点）,,true
73,21111311-1,1,2,補強リブ制作取付加工溶接,加工・取付・溶接,,,1,,false,0.90,自動変換,,,,set_child,後ろ横根太折損部修正、補強リブ制作取付加工溶接,後ろ横根太折損部修正加工 他（2点）,,true
74,21111311-1,2,1,床板修正,修正,,15000,1,15000,false,0.90,自動変換,,,,individual,床板修正,,,true
75,21111311-1,3,0,左右リアフェンダー脱着溶接 他（2点）,溶接,,9000,2,18000,false,0.90,自動変換,,,,set_parent,左右リアフェンダー脱着、ステー付け替え溶接,左右リアフェンダー脱着溶接 他（2点）,,true
76,21111311-1,3,1,左右リアフェンダー脱着,脱着,リアフェンダー,,1,,false,0.90,自動変換,,,,set_child,左右リアフェンダー脱着、ステー付け替え溶接,左右リアフェンダー脱着溶接 他（2点）,,true
77,21111311-1,3,2,ステー付け替え溶接,溶接,ステー,,1,,false,0.90,自動変換,,,,set_child,左右リアフェンダー脱着、ステー付け替え溶接,左右リアフェンダー脱着溶接 他（2点）,,true
78,21111311-1,4,1,左前床板破損部補強リブ入れ溶接,溶接,,12000,1,12000,false,0.90,自動変換,,,,individual,左前床板破損部補強リブ入れ溶接,,,true
79,21111312-1,1,0,リヤゲート戸当たりゴム取付 他（2点）,取付,,3000,1,3000,false,0.90,自動変換,,,,set_parent,リヤゲート戸当たりゴム取付、ワッシャー追加取付,リヤゲート戸当たりゴム取付 他（2点）,,true
80,21111312-1,1,1,リヤゲート戸当たりゴム取付,取付,,,1,,false,0.90,自動変換,,,,set_child,リヤゲート戸当たりゴム取付、ワッシャー追加取付,リヤゲート戸当たりゴム取付 他（2点）,,true
81,21111312-1,1,2,ワッシャー追加取付,取付,,,1,,false,0.90,自動変換,,,,set_child,リヤゲート戸当たりゴム取付、ワッシャー追加取付,リヤゲート戸当たりゴム取付 他（2点）,,true
